Date,Price,Open,High,Low,Vol.,Change %
18-Aug,5600.64,"5,600.64","5,600.64","5,600.64",-,5.62%
17-Feb,5612.69,"5,612.69","5,612.69","5,612.69",-,2.64%
17-Jun,5656.04,"5,656.04","5,656.04","5,656.04",-,4.68%
19-Feb,5711.82,"5,711.82","5,711.82","5,711.82",-,-1.88%
17-Mar,5719.61,"5,719.61","5,719.61","5,719.61",-,1.90%
18-Apr,5739.22,"5,739.22","5,739.22","5,739.22",-,2.53%
18-Feb,5804.94,"5,804.94","5,804.94","5,804.94",-,-3.89%
19-Jan,5821.01,"5,821.01","5,821.01","5,821.01",-,8.08%
17-Jul,5860.64,"5,860.64","5,860.64","5,860.64",-,3.62%
21-Jun,6150.48,"5,990.98","6,156.59","5,938.98",-,2.66%
17-Aug,6006.43,"6,006.43","6,006.43","6,006.43",-,2.49%
17-Oct,6019.59,"6,019.59","6,019.59","6,019.59",-,-1.20%
18-Jan,6039.78,"6,039.78","6,039.78","6,039.78",-,-3.28%
17-Sep,6092.84,"6,092.84","6,092.84","6,092.84",-,1.44%
21-Jul,6425.25,"6,150.48","6,447.20","6,150.48",-,4.47%
17-Dec,6244.52,"6,244.52","6,244.52","6,244.52",-,-0.99%
17-Nov,6306.86,"6,306.86","6,306.86","6,306.86",-,4.77%
21-Aug,6869.24,"6,425.25","6,923.00","6,425.25",-,6.91%
21-Dec,6756.65,"6,703.25","7,055.46","6,610.17",-,0.80%
21-Nov,6703.25,"7,000.94","7,134.75","6,699.16",-,-4.25%
22-Jan,7089.43,"6,756.65","7,136.31","6,756.65",-,4.93%
21-Oct,7000.94,"7,329.03","7,410.62","6,841.29",-,-4.48%
21-Sep,7329.03,"6,869.24","7,344.05","6,869.24",-,6.69%
