Date,Price,Open,High,Low,Change %
14-Aug-13,3983.46,3983.46,3983.46,3983.46,0.10%
18-Aug-13,4033.77,4033.77,4033.77,4033.77,1.26%
19-Aug-13,4083.91,4083.91,4083.91,4083.91,1.24%
20-Aug-13,4082.67,4082.67,4082.67,4082.67,-0.03%
21-Aug-13,4068.72,4068.72,4068.72,4068.72,-0.34%
22-Aug-13,4125.27,4125.27,4125.27,4125.27,1.39%
25-Aug-13,4163.18,4163.18,4163.18,4163.18,0.92%
26-Aug-13,4134.12,4134.12,4134.12,4134.12,-0.70%
27-Aug-13,4132.13,4132.13,4132.13,4132.13,-0.05%
29-Aug-13,4127.48,4127.48,4127.48,4127.48,-0.11%
1-Sep-13,4140.3,4140.3,4140.3,4140.3,0.31%
2-Sep-13,4100.35,4100.35,4100.35,4100.35,-0.96%
3-Sep-13,4127.61,4127.61,4127.61,4127.61,0.66%
4-Sep-13,4128.18,4128.18,4128.18,4128.18,0.01%
5-Sep-13,4118.49,4118.49,4118.49,4118.49,-0.23%
8-Sep-13,4077.36,4077.36,4077.36,4077.36,-1.00%
9-Sep-13,4071.16,4071.16,4071.16,4071.16,-0.15%
10-Sep-13,4073.63,4073.63,4073.63,4073.63,0.06%
11-Sep-13,4076.96,4076.96,4076.96,4076.96,0.08%
12-Sep-13,4077.94,4077.94,4077.94,4077.94,0.02%
15-Sep-13,4123.9,4123.9,4123.9,4123.9,1.13%
16-Sep-13,4137.93,4137.93,4137.93,4137.93,0.34%
17-Sep-13,4118.81,4118.81,4118.81,4118.81,-0.46%
18-Sep-13,4116.16,4116.16,4116.16,4116.16,-0.06%
19-Sep-13,4097.71,4097.71,4097.71,4097.71,-0.45%
22-Sep-13,4036.78,4036.78,4036.78,4036.78,-1.49%
23-Sep-13,4021.08,4021.08,4021.08,4021.08,-0.39%
24-Sep-13,4030.09,4030.09,4030.09,4030.09,0.22%
25-Sep-13,4005.92,4005.92,4005.92,4005.92,-0.60%
26-Sep-13,4013.37,4013.37,4013.37,4013.37,0.19%
29-Sep-13,3968.79,3968.79,3968.79,3968.79,-1.11%
30-Sep-13,3937.68,3937.68,3937.68,3937.68,-0.78%
1-Oct-13,3928.48,3928.48,3928.48,3928.48,-0.23%
2-Oct-13,3954.48,3954.48,3954.48,3954.48,0.66%
3-Oct-13,3948.44,3948.44,3948.44,3948.44,-0.15%
6-Oct-13,3882.33,3882.33,3882.33,3882.33,-1.67%
7-Oct-13,3857.25,3857.25,3857.25,3857.25,-0.65%
8-Oct-13,3792.35,3792.35,3792.35,3792.35,-1.68%
9-Oct-13,3821.56,3821.56,3821.56,3821.56,0.77%
10-Oct-13,3843.55,3843.55,3843.55,3843.55,0.58%
20-Oct-13,3771.68,3771.68,3771.68,3771.68,-1.87%
21-Oct-13,3763.88,3763.88,3763.88,3763.88,-0.21%
22-Oct-13,3814.66,3814.66,3814.66,3814.66,1.35%
23-Oct-13,3883.86,3883.86,3883.86,3883.86,1.81%
24-Oct-13,3799.27,3799.27,3799.27,3799.27,-2.18%
27-Oct-13,3909.14,3909.14,3909.14,3909.14,2.89%
28-Oct-13,3951.5,3951.5,3951.5,3951.5,1.08%
29-Oct-13,3989.14,3989.14,3989.14,3989.14,0.95%
30-Oct-13,3946.01,3946.01,3946.01,3946.01,-1.08%
31-Oct-13,3967.72,3967.72,3967.72,3967.72,0.55%
3-Nov-13,3993.33,3993.33,3993.33,3993.33,0.65%
4-Nov-13,4085.2,4085.2,4085.2,4085.2,2.30%
5-Nov-13,4090.12,4090.12,4090.12,4090.12,0.12%
