"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 17","6,306.86","6,306.86","6,306.86","6,306.86","-","4.77%"
"Oct 17","6,019.59","6,019.59","6,019.59","6,019.59","-","-1.20%"
"Sep 17","6,092.84","6,092.84","6,092.84","6,092.84","-","1.44%"
"Aug 17","6,006.43","6,006.43","6,006.43","6,006.43","-","2.49%"
"Jul 17","5,860.64","5,860.64","5,860.64","5,860.64","-","3.62%"
"Jun 17","5,656.04","5,656.04","5,656.04","5,656.04","-","4.68%"
"May 17","5,403.11","5,403.11","5,403.11","5,403.11","-","-1.32%"
"Apr 17","5,475.55","5,475.55","5,475.55","5,475.55","-","-4.27%"
"Mar 17","5,719.61","5,719.61","5,719.61","5,719.61","-","1.90%"
"Feb 17","5,612.69","5,612.69","5,612.69","5,612.69","-","2.64%"
"Jan 17","5,468.34","5,468.34","5,468.34","5,468.34","-","8.58%"
"Dec 16","5,036.05","5,036.05","5,036.05","5,036.05","-","4.89%"
"Nov 16","4,801.24","4,801.24","4,801.24","4,801.24","-","4.55%"
"Oct 16","4,592.17","4,592.17","4,592.17","4,592.17","-","-2.19%"
"Sep 16","4,695.18","4,695.18","4,695.18","4,695.18","-","3.72%"
"Aug 16","4,526.57","4,526.57","4,526.57","4,526.57","-","0.03%"
"Jul 16","4,525.34","4,525.34","4,525.34","4,525.34","-","0.39%"
"Jun 16","4,507.58","4,507.58","4,507.58","4,507.58","-","2.00%"
"May 16","4,419.39","4,419.39","4,419.39","4,419.39","-","5.33%"
"Apr 16","4,195.69","4,195.69","4,195.69","4,195.69","-","-3.71%"
"Mar 16","4,357.53","4,357.53","4,357.53","4,357.53","-","-3.42%"
"Feb 16","4,511.96","4,511.96","4,511.96","4,511.96","-","-0.64%"
"Jan 16","4,540.89","4,540.89","4,540.89","4,540.89","-","-1.39%"
"Dec 15","4,604.91","4,604.91","4,604.91","4,604.91","-","0.52%"
"Nov 15","4,580.99","4,580.99","4,580.99","4,580.99","-","0.36%"
"Oct 15","4,564.48","4,564.48","4,564.48","4,564.48","-","-5.93%"
"Sep 15","4,852.08","4,852.08","4,852.08","4,852.08","-","1.75%"
"Aug 15","4,768.66","4,768.66","4,768.66","4,768.66","-","-0.49%"
"Jul 15","4,792.30","4,792.30","4,792.30","4,792.30","-","4.56%"
"Jun 15","4,583.10","4,583.10","4,583.10","4,583.10","-","-0.08%"
"May 15","4,586.95","4,586.95","4,586.95","4,586.95","-","13.33%"
"Apr 15","4,047.28","4,047.28","4,047.28","4,047.28","-","-10.67%"
"Mar 15","4,530.48","4,530.48","4,530.48","4,530.48","-","-4.89%"
"Feb 15","4,763.21","4,763.21","4,763.21","4,763.21","-","0.83%"
"Jan 15","4,724.04","4,724.04","4,724.04","4,724.04","-","-2.90%"
"Dec 14","4,864.96","4,864.96","4,864.96","4,864.96","-","2.00%"
"Nov 14","4,769.42","4,769.42","4,769.42","4,769.42","-","-7.81%"
"Oct 14","5,173.23","5,173.23","5,173.23","5,173.23","-","1.95%"
"Sep 14","5,074.30","5,074.30","5,074.30","5,074.30","-","11.54%"
"Aug 14","4,549.51","4,549.51","4,549.51","4,549.51","-","2.76%"
"Jul 14","4,427.15","4,427.15","4,427.15","4,427.15","-","-1.19%"
"Jun 14","4,480.52","4,480.52","4,480.52","4,480.52","-","1.13%"
"May 14","4,430.47","4,430.47","4,430.47","4,430.47","-","-2.99%"
"Apr 14","4,566.85","4,566.85","4,566.85","4,566.85","-","1.67%"
"Mar 14","4,491.98","4,491.98","4,491.98","4,491.98","-","-5.43%"
"Feb 14","4,749.86","4,749.86","4,749.86","4,749.86","-","-0.07%"
"Jan 14","4,753.17","4,753.17","4,753.17","4,753.17","-","11.41%"
"Dec 13","4,266.55","4,266.55","4,266.55","4,266.55","-","0.85%"
"Nov 13","4,230.72","4,230.72","4,230.72","4,230.72","-","6.63%"
"Oct 13","3,967.72","3,967.72","3,967.72","3,967.72","-","0.76%"
"Sep 13","3,937.68","3,937.68","3,937.68","3,937.68","-","-4.60%"
"Aug 13","4,127.48","4,127.48","4,127.48","4,127.48","-","4.74%"
"Jul 13","3,940.80","3,940.80","3,940.80","3,940.80","-","-3.99%"
"Jun 13","4,104.64","4,104.64","4,104.64","4,104.64","-","5.84%"
"May 13","3,878.07","3,878.07","3,878.07","3,878.07","-","12.77%"
"Apr 13","3,438.89","3,438.89","3,438.89","3,438.89","-","-4.21%"
"Mar 13","3,590.04","3,590.04","3,590.04","3,590.04","-","-9.65%"
"Feb 13","3,973.28","3,973.28","3,973.28","3,973.28","-","-3.94%"
