Date,Price,Open,High,Low,Vol.,Change %
29-Jul-21,6425.25,6417.19,6438.16,6405.91,-,0.13%
28-Jul-21,6417.19,6379.67,6422.13,6379.67,-,0.59%
27-Jul-21,6379.67,6404.03,6417.04,6375.04,-,-0.38%
26-Jul-21,6404.03,6424.21,6447.2,6389.27,-,-0.31%
25-Jul-21,6424.21,6425.27,6430.9,6424.21,-,0.30%
19-Jul-21,6405.04,6365.11,6407.2,6351.33,-,0.92%
18-Jul-21,6346.52,6307.35,6347.86,6307.35,-,0.62%
15-Jul-21,6307.35,6273.33,6310.23,6273.33,-,0.54%
14-Jul-21,6273.33,6266.01,6295.98,6256.59,-,0.12%
13-Jul-21,6266.01,6208.39,6275.01,6208.39,-,0.93%
12-Jul-21,6208.39,6212.76,6234.4,6196.76,-,-0.07%
8-Jul-21,6212.76,6177.21,6216.28,6168.36,-,0.58%
7-Jul-21,6177.21,6196.57,6235.78,6168.47,-,-0.31%
6-Jul-21,6196.57,6219.94,6239.66,6187.72,-,-0.38%
5-Jul-21,6219.94,6150.48,6226.01,6150.48,-,1.13%
4-Jul-21,6150.48,6150.48,6150.48,6150.48,-,0.00%
30-Jun-21,6150.48,6042.49,6156.59,6042.49,-,1.79%
29-Jun-21,6042.49,6026.64,6068.08,6010.87,-,0.26%
28-Jun-21,6026.64,5992.73,6055.98,5992.73,-,0.57%
27-Jun-21,5992.73,6092.83,6092.83,5982.68,-,-1.64%
24-Jun-21,6092.83,6035.84,6094.8,6000.92,-,0.94%
23-Jun-21,6035.84,6105.73,6124.64,6028.9,-,-1.14%
22-Jun-21,6105.73,6125.41,6144.76,6094.29,-,-0.32%
21-Jun-21,6125.41,6069.4,6141.15,6069.4,-,0.92%
20-Jun-21,6069.4,6052.75,6071.92,6010.45,-,0.28%
17-Jun-21,6052.75,6051.73,6094.28,6047.58,-,0.02%
16-Jun-21,6051.73,6022.31,6071,6022.31,-,0.49%
15-Jun-21,6022.31,6013.61,6048.06,6013.61,-,0.14%
14-Jun-21,6013.61,6036.05,6062.24,5985.85,-,-0.37%
13-Jun-21,6036.05,6066.64,6098.51,6026.03,-,-0.50%
10-Jun-21,6066.64,6055.05,6111.84,6055.05,-,0.19%
9-Jun-21,6055.05,6023.15,6094.72,6023.15,-,0.53%
